observation_date,BOST625NA
1990-01-01,2276.4
1990-02-01,2269.8
1990-03-01,2263.3
1990-04-01,2259.8
1990-05-01,2255.1
1990-06-01,2248.1
1990-07-01,2240.5
1990-08-01,2231.7
1990-09-01,2222.9
1990-10-01,2203.1
1990-11-01,2196.6
1990-12-01,2186.8
1991-01-01,2175.4
1991-02-01,2164.8
1991-03-01,2158.6
1991-04-01,2149.0
1991-05-01,2138.3
1991-06-01,2134.1
1991-07-01,2124.0
1991-08-01,2121.0
1991-09-01,2119.7
1991-10-01,2118.5
1991-11-01,2116.2
1991-12-01,2114.5
1992-01-01,2114.2
1992-02-01,2113.5
1992-03-01,2112.5
1992-04-01,2109.7
1992-05-01,2112.0
1992-06-01,2110.0
1992-07-01,2112.9
1992-08-01,2114.0
1992-09-01,2110.2
1992-10-01,2120.6
1992-11-01,2125.2
1992-12-01,2122.9
1993-01-01,2137.7
1993-02-01,2137.0
1993-03-01,2134.8
1993-04-01,2143.3
1993-05-01,2149.9
1993-06-01,2153.2
1993-07-01,2153.9
1993-08-01,2157.1
1993-09-01,2160.3
1993-10-01,2165.5
1993-11-01,2166.9
1993-12-01,2171.9
1994-01-01,2175.9
1994-02-01,2180.4
1994-03-01,2183.1
1994-04-01,2190.5
1994-05-01,2191.0
1994-06-01,2198.2
1994-07-01,2205.2
1994-08-01,2209.0
1994-09-01,2212.3
1994-10-01,2215.9
1994-11-01,2223.1
1994-12-01,2227.4
1995-01-01,2234.8
1995-02-01,2238.7
1995-03-01,2243.7
1995-04-01,2254.6
1995-05-01,2251.0
1995-06-01,2254.3
1995-07-01,2257.1
1995-08-01,2262.9
1995-09-01,2266.1
1995-10-01,2271.1
1995-11-01,2276.3
1995-12-01,2277.0
1996-01-01,2276.3
1996-02-01,2284.1
1996-03-01,2288.0
1996-04-01,2293.6
1996-05-01,2298.8
1996-06-01,2302.9
1996-07-01,2307.1
1996-08-01,2311.6
1996-09-01,2316.5
1996-10-01,2319.3
1996-11-01,2326.1
1996-12-01,2327.2
1997-01-01,2340.4
1997-02-01,2340.6
1997-03-01,2348.6
1997-04-01,2349.5
1997-05-01,2355.2
1997-06-01,2358.1
1997-07-01,2360.2
1997-08-01,2363.5
1997-09-01,2370.5
1997-10-01,2376.7
1997-11-01,2383.1
1997-12-01,2392.5
1998-01-01,2392.0
1998-02-01,2397.9
1998-03-01,2400.3
1998-04-01,2404.1
1998-05-01,2409.4
1998-06-01,2413.3
1998-07-01,2420.0
1998-08-01,2422.7
1998-09-01,2424.0
1998-10-01,2416.4
1998-11-01,2423.9
1998-12-01,2426.9
1999-01-01,2429.2
1999-02-01,2434.2
1999-03-01,2438.8
1999-04-01,2448.1
1999-05-01,2449.0
1999-06-01,2453.7
1999-07-01,2453.8
1999-08-01,2460.0
1999-09-01,2459.2
1999-10-01,2470.8
1999-11-01,2473.6
1999-12-01,2481.1
2000-01-01,2488.1
2000-02-01,2493.8
2000-03-01,2503.6
2000-04-01,2506.7
2000-05-01,2509.0
2000-06-01,2517.3
2000-07-01,2531.6
2000-08-01,2527.1
2000-09-01,2539.1
2000-10-01,2542.9
2000-11-01,2550.1
2000-12-01,2552.8
2001-01-01,2553.5
2001-02-01,2553.8
2001-03-01,2547.8
2001-04-01,2542.1
2001-05-01,2536.0
2001-06-01,2529.1
2001-07-01,2523.7
2001-08-01,2515.4
2001-09-01,2502.0
2001-10-01,2494.9
2001-11-01,2485.6
2001-12-01,2479.2
2002-01-01,2475.3
2002-02-01,2468.4
2002-03-01,2469.1
2002-04-01,2465.6
2002-05-01,2462.6
2002-06-01,2457.5
2002-07-01,2450.7
2002-08-01,2446.0
2002-09-01,2444.9
2002-10-01,2442.5
2002-11-01,2440.9
2002-12-01,2435.8
2003-01-01,2429.1
2003-02-01,2416.2
2003-03-01,2413.4
2003-04-01,2409.9
2003-05-01,2407.0
2003-06-01,2402.5
2003-07-01,2398.8
2003-08-01,2395.7
2003-09-01,2396.4
2003-10-01,2392.3
2003-11-01,2395.0
2003-12-01,2387.1
2004-01-01,2389.9
2004-02-01,2392.2
2004-03-01,2396.6
2004-04-01,2396.2
2004-05-01,2399.2
2004-06-01,2399.8
2004-07-01,2404.0
2004-08-01,2404.4
2004-09-01,2404.9
2004-10-01,2406.7
2004-11-01,2405.4
2004-12-01,2407.4
2005-01-01,2406.7
2005-02-01,2413.9
2005-03-01,2409.7
2005-04-01,2416.3
2005-05-01,2417.9
2005-06-01,2415.2
2005-07-01,2422.3
2005-08-01,2423.8
2005-09-01,2424.3
2005-10-01,2425.4
2005-11-01,2430.2
2005-12-01,2432.7
2006-01-01,2435.0
2006-02-01,2437.3
2006-03-01,2441.2
2006-04-01,2443.1
2006-05-01,2440.1
2006-06-01,2446.4
2006-07-01,2448.2
2006-08-01,2451.5
2006-09-01,2455.7
2006-10-01,2457.4
2006-11-01,2457.5
2006-12-01,2463.2
2007-01-01,2473.3
2007-02-01,2472.8
2007-03-01,2473.8
2007-04-01,2476.8
2007-05-01,2481.5
2007-06-01,2485.6
2007-07-01,2486.9
2007-08-01,2488.3
2007-09-01,2487.3
2007-10-01,2490.1
2007-11-01,2493.1
2007-12-01,2493.9
2008-01-01,2502.6
2008-02-01,2504.5
2008-03-01,2506.5
2008-04-01,2506.1
2008-05-01,2505.6
2008-06-01,2505.2
2008-07-01,2505.7
2008-08-01,2503.4
2008-09-01,2497.5
2008-10-01,2491.1
2008-11-01,2481.9
2008-12-01,2470.1
2009-01-01,2457.1
2009-02-01,2448.9
2009-03-01,2438.2
2009-04-01,2427.7
2009-05-01,2421.1
2009-06-01,2413.5
2009-07-01,2407.0
2009-08-01,2405.3
2009-09-01,2406.0
2009-10-01,2406.3
2009-11-01,2405.4
2009-12-01,2406.7
2010-01-01,2427.7
2010-02-01,2426.0
2010-03-01,2427.5
2010-04-01,2430.1
2010-05-01,2435.5
2010-06-01,2422.8
2010-07-01,2430.9
2010-08-01,2431.2
2010-09-01,2425.4
2010-10-01,2440.3
2010-11-01,2439.5
2010-12-01,2444.1
2011-01-01,2445.9
2011-02-01,2450.6
2011-03-01,2453.9
2011-04-01,2459.9
2011-05-01,2456.0
2011-06-01,2449.7
2011-07-01,2468.1
2011-08-01,2466.2
2011-09-01,2472.0
2011-10-01,2472.8
2011-11-01,2473.9
2011-12-01,2479.8
2012-01-01,2487.8
2012-02-01,2490.8
2012-03-01,2500.2
2012-04-01,2493.8
2012-05-01,2493.3
2012-06-01,2503.0
2012-07-01,2508.9
2012-08-01,2511.5
2012-09-01,2515.5
2012-10-01,2518.2
2012-11-01,2522.0
2012-12-01,2525.2
2013-01-01,2530.4
2013-02-01,2534.0
2013-03-01,2541.1
2013-04-01,2546.0
2013-05-01,2550.0
2013-06-01,2552.8
2013-07-01,2550.1
2013-08-01,2556.2
2013-09-01,2555.6
2013-10-01,2561.1
2013-11-01,2564.0
2013-12-01,2566.4
2014-01-01,2569.7
2014-02-01,2577.3
2014-03-01,2580.6
2014-04-01,2588.3
2014-05-01,2590.7
2014-06-01,2593.0
2014-07-01,2599.0
2014-08-01,2589.6
2014-09-01,2609.5
2014-10-01,2616.3
2014-11-01,2623.7
2014-12-01,2630.4
2015-01-01,2627.5
2015-02-01,2621.9
2015-03-01,2633.9
2015-04-01,2637.6
2015-05-01,2651.5
2015-06-01,2654.2
2015-07-01,2658.9
2015-08-01,2661.2
2015-09-01,2658.4
2015-10-01,2670.3
2015-11-01,2673.9
2015-12-01,2679.0
2016-01-01,2680.4
2016-02-01,2686.2
2016-03-01,2692.4
2016-04-01,2694.7
2016-05-01,2696.7
2016-06-01,2695.4
2016-07-01,2717.9
2016-08-01,2718.3
2016-09-01,2719.6
2016-10-01,2716.3
2016-11-01,2717.7
2016-12-01,2721.8
2017-01-01,2726.3
2017-02-01,2725.3
2017-03-01,2729.3
2017-04-01,2733.6
2017-05-01,2734.3
2017-06-01,2743.0
2017-07-01,2745.0
2017-08-01,2747.9
2017-09-01,2749.8
2017-10-01,2752.5
2017-11-01,2755.7
2017-12-01,2759.6
2018-01-01,2757.8
2018-02-01,2767.6
2018-03-01,2768.1
2018-04-01,2769.6
2018-05-01,2773.0
2018-06-01,2780.0
2018-07-01,2773.8
