observation_date,CLEV439NA
1990-01-01,1027.9
1990-02-01,1029.4
1990-03-01,1030.1
1990-04-01,1033.2
1990-05-01,1032.2
1990-06-01,1033.8
1990-07-01,1031.6
1990-08-01,1029.7
1990-09-01,1029.9
1990-10-01,1024.1
1990-11-01,1021.1
1990-12-01,1019.1
1991-01-01,1015.6
1991-02-01,1012.4
1991-03-01,1012.4
1991-04-01,1010.5
1991-05-01,1007.1
1991-06-01,1009.1
1991-07-01,1009.5
1991-08-01,1009.6
1991-09-01,1010.1
1991-10-01,1009.6
1991-11-01,1010.6
1991-12-01,1005.8
1992-01-01,1003.3
1992-02-01,1002.5
1992-03-01,1003.2
1992-04-01,1002.9
1992-05-01,1003.6
1992-06-01,1003.6
1992-07-01,1003.8
1992-08-01,1005.5
1992-09-01,1005.1
1992-10-01,1005.8
1992-11-01,1005.6
1992-12-01,1006.2
1993-01-01,1007.1
1993-02-01,1007.2
1993-03-01,1002.4
1993-04-01,1006.1
1993-05-01,1008.1
1993-06-01,1009.2
1993-07-01,1011.0
1993-08-01,1011.8
1993-09-01,1014.9
1993-10-01,1015.6
1993-11-01,1015.1
1993-12-01,1018.1
1994-01-01,1025.2
1994-02-01,1028.3
1994-03-01,1030.1
1994-04-01,1031.5
1994-05-01,1032.8
1994-06-01,1034.0
1994-07-01,1037.0
1994-08-01,1038.4
1994-09-01,1039.9
1994-10-01,1043.5
1994-11-01,1047.0
1994-12-01,1049.6
1995-01-01,1051.8
1995-02-01,1053.7
1995-03-01,1056.1
1995-04-01,1058.5
1995-05-01,1058.2
1995-06-01,1063.1
1995-07-01,1062.4
1995-08-01,1060.3
1995-09-01,1065.8
1995-10-01,1066.4
1995-11-01,1068.8
1995-12-01,1069.9
1996-01-01,1067.6
1996-02-01,1072.2
1996-03-01,1073.1
1996-04-01,1073.0
1996-05-01,1076.7
1996-06-01,1080.7
1996-07-01,1076.9
1996-08-01,1078.7
1996-09-01,1079.8
1996-10-01,1082.1
1996-11-01,1081.1
1996-12-01,1082.7
1997-01-01,1085.1
1997-02-01,1087.1
1997-03-01,1090.2
1997-04-01,1094.6
1997-05-01,1095.2
1997-06-01,1098.8
1997-07-01,1101.6
1997-08-01,1102.6
1997-09-01,1105.0
1997-10-01,1105.1
1997-11-01,1108.1
1997-12-01,1109.2
1998-01-01,1107.3
1998-02-01,1108.7
1998-03-01,1109.3
1998-04-01,1111.8
1998-05-01,1114.6
1998-06-01,1116.8
1998-07-01,1111.6
1998-08-01,1115.6
1998-09-01,1116.4
1998-10-01,1121.3
1998-11-01,1120.2
1998-12-01,1121.0
1999-01-01,1121.5
1999-02-01,1123.6
1999-03-01,1122.9
1999-04-01,1125.5
1999-05-01,1126.0
1999-06-01,1127.8
1999-07-01,1131.5
1999-08-01,1131.2
1999-09-01,1129.9
1999-10-01,1132.0
1999-11-01,1134.0
1999-12-01,1135.9
2000-01-01,1136.7
2000-02-01,1136.2
2000-03-01,1137.2
2000-04-01,1137.3
2000-05-01,1138.4
2000-06-01,1137.0
2000-07-01,1135.9
2000-08-01,1136.1
2000-09-01,1136.6
2000-10-01,1134.5
2000-11-01,1133.9
2000-12-01,1133.3
2001-01-01,1135.5
2001-02-01,1132.7
2001-03-01,1131.4
2001-04-01,1126.8
2001-05-01,1123.5
2001-06-01,1121.5
2001-07-01,1117.6
2001-08-01,1114.0
2001-09-01,1105.8
2001-10-01,1103.2
2001-11-01,1100.6
2001-12-01,1096.8
2002-01-01,1092.3
2002-02-01,1090.8
2002-03-01,1088.7
2002-04-01,1083.7
2002-05-01,1081.8
2002-06-01,1079.7
2002-07-01,1079.1
2002-08-01,1079.2
2002-09-01,1079.7
2002-10-01,1080.3
2002-11-01,1077.4
2002-12-01,1074.7
2003-01-01,1079.2
2003-02-01,1076.7
2003-03-01,1074.2
2003-04-01,1076.8
2003-05-01,1077.8
2003-06-01,1073.8
2003-07-01,1073.4
2003-08-01,1071.4
2003-09-01,1071.9
2003-10-01,1071.1
2003-11-01,1070.9
2003-12-01,1070.3
2004-01-01,1069.6
2004-02-01,1069.5
2004-03-01,1070.8
2004-04-01,1070.0
2004-05-01,1071.3
2004-06-01,1071.3
2004-07-01,1072.6
2004-08-01,1072.6
2004-09-01,1072.0
2004-10-01,1074.3
2004-11-01,1075.2
2004-12-01,1073.7
2005-01-01,1068.1
2005-02-01,1070.4
2005-03-01,1069.6
2005-04-01,1070.6
2005-05-01,1069.8
2005-06-01,1070.3
2005-07-01,1072.5
2005-08-01,1073.3
2005-09-01,1074.4
2005-10-01,1074.8
2005-11-01,1075.7
2005-12-01,1075.6
2006-01-01,1076.7
2006-02-01,1077.2
2006-03-01,1077.7
2006-04-01,1078.4
2006-05-01,1075.9
2006-06-01,1077.0
2006-07-01,1073.9
