year_start,year_end,flow_type,dest_statefips,origin_statefips,origin_state_abbr,origin_state_name,n_returns,n_exemptions,agi_thousands
2014,2015,inflow,01,96,AL,"AL Total Migration-US and Foreign",33716,67747,1515297
2014,2015,inflow,01,97,AL,"AL Total Migration-US",32868,65647,1467218
2014,2015,inflow,01,98,AL,"AL Total Migration-Foreign",848,2100,48079
2014,2015,inflow,01,97,AL,"AL Total Migration-Same State",46630,95832,1871804
2014,2015,inflow,01,01,AL,"AL Non-migrants",1598458,3579600,96406319
2014,2015,inflow,01,13,GA,"Georgia",5972,12269,249108
2014,2015,inflow,01,12,FL,"Florida",4489,8446,185502
2014,2015,inflow,01,48,TX,"Texas",3435,7041,135165
2014,2015,inflow,01,47,TN,"Tennessee",2608,5304,124203
2014,2015,inflow,01,28,MS,"Mississippi",2212,4562,90723
2014,2015,inflow,01,06,CA,"California",1169,2274,55689
2014,2015,inflow,01,37,NC,"North Carolina",1056,2158,49972
2014,2015,inflow,01,22,LA,"Louisiana",883,1671,40723
2014,2015,inflow,01,57,FR,"Foreign",848,2100,48079
2014,2015,inflow,01,51,VA,"Virginia",819,1624,48796
2014,2015,inflow,01,36,NY,"New York",772,1518,34582
2014,2015,inflow,01,17,IL,"Illinois",717,1443,34167
2014,2015,inflow,01,39,OH,"Ohio",713,1430,29911
2014,2015,inflow,01,45,SC,"South Carolina",637,1220,31594
2014,2015,inflow,01,26,MI,"Michigan",594,1125,22176
2014,2015,inflow,01,21,KY,"Kentucky",574,1213,27082
2014,2015,inflow,01,08,CO,"Colorado",473,932,24958
2014,2015,inflow,01,29,MO,"Missouri",459,901,20884
2014,2015,inflow,01,18,IN,"Indiana",457,895,21821
2014,2015,inflow,01,42,PA,"Pennsylvania",440,850,23033
2014,2015,inflow,01,53,WA,"Washington",351,742,17875
2014,2015,inflow,01,24,MD,"Maryland",340,647,18685
2014,2015,inflow,01,05,AR,"Arkansas",338,703,15223
2014,2015,inflow,01,40,OK,"Oklahoma",300,615,15592
2014,2015,inflow,01,04,AZ,"Arizona",285,575,16478
2014,2015,inflow,01,34,NJ,"New Jersey",261,489,12404
2014,2015,inflow,01,20,KS,"Kansas",242,549,12081
2014,2015,inflow,01,55,WI,"Wisconsin",198,385,9052
2014,2015,inflow,01,15,HI,"Hawaii",197,440,8578
2014,2015,inflow,01,25,MA,"Massachusetts",171,315,8548
2014,2015,inflow,01,32,NV,"Nevada",166,299,7457
2014,2015,inflow,01,35,NM,"New Mexico",143,310,7926
2014,2015,inflow,01,27,MN,"Minnesota",133,252,7129
2014,2015,inflow,01,09,CT,"Connecticut",130,248,7706
2014,2015,inflow,01,54,WV,"West Virginia",119,235,5459
2014,2015,inflow,01,19,IA,"Iowa",118,205,4816
2014,2015,inflow,01,02,AK,"Alaska",107,223,4869
2014,2015,inflow,01,49,UT,"Utah",99,201,4551
2014,2015,inflow,01,41,OR,"Oregon",97,179,5421
2014,2015,inflow,01,31,NE,"Nebraska",75,149,3165
2014,2015,inflow,01,16,ID,"Idaho",69,142,2370
