period_begin,region,state_code,months_of_supply,inventory,homes_sold,new_listings,median_sale_price,median_dom
2012-08-01,"Klamath Falls - OR metro area",OR,8.1,598,74,104,130000,143
2015-04-01,"Shelbyville - TN metro area",TN,4.3,220,51,64,119000,87
2025-11-01,"Morristown - TN metro area",TN,5.9,660,111,150,325000,65
2017-02-01,"Mount Airy - NC metro area",NC,7.2,229,32,48,119000,106
2013-08-01,"Camden - NJ metro area",NJ,6.5,8786,1342,1759,192250,81
2020-09-01,"Sweetwater - TX metro area",TX,3.6,36,10,7,122250,102
2016-07-01,"Cañon City - CO metro area",CO,3.5,284,81,91,170113,73
2023-01-01,"Nashville - TN metro area",TN,4.6,7956,1731,2749,418950,73
2013-02-01,"Bainbridge - GA metro area",GA,5.5,61,11,11,70100,73
2017-07-01,"Providence - RI metro area",RI,3.1,6442,2085,2422,266000,43
2017-06-01,"Mount Vernon - WA metro area",WA,1.9,446,238,325,325000,12
2012-07-01,"Prescott Valley - AZ metro area",AZ,5.8,2082,359,423,172000,93
2017-06-01,"Toccoa - GA metro area",GA,6.9,145,21,38,103000,62
2015-10-01,"Hartford - CT metro area",CT,6.5,8832,1351,1614,190500,106
2018-05-01,"Hannibal - MO metro area",MO,2.2,88,40,38,150250,76
2024-10-01,"Marshall - MN metro area",MN,3.2,54,17,25,239985,15
2017-06-01,"Billings - MT metro area",MT,2.5,812,324,262,249900,67
2021-06-01,"State College - PA metro area",PA,2.1,440,211,176,297000,56
2024-01-01,"Levelland - TX metro area",TX,8.2,74,9,16,224900,179
2025-08-01,"Orangeburg - SC metro area",SC,3.6,283,78,79,235000,117
2025-05-01,"Rio Grande City - TX metro area",TX,16.2,97,6,17,222500,72
2017-10-01,"Columbus - OH metro area",OH,2.4,6927,2835,2785,189000,50
2016-11-01,"Brookhaven - MS metro area",MS,8.1,81,10,7,179000,200
2014-10-01,"Centralia - IL metro area",IL,4.3,159,37,25,66000,116
2021-06-01,"Cedartown - GA metro area",GA,1.5,82,54,55,177950,11
2023-12-01,"Taos - NM metro area",NM,5.3,144,27,31,444000,57
2025-12-01,"Jacksonville - IL metro area",IL,1.5,52,35,18,135000,55
2020-10-01,"Sunbury - PA metro area",PA,2.6,222,85,65,129900,91
2022-12-01,"Winfield - KS metro area",KS,2.6,76,29,19,119900,39
2021-09-01,"Greenville - MS metro area",MS,2.4,47,20,20,107000,90
2022-08-01,"Newport - OR metro area",OR,4,393,98,129,500000,55
2020-09-01,"Eau Claire - WI metro area",WI,2.4,562,239,246,229000,54
2022-07-01,"Bay City - TX metro area",TX,4.4,145,33,59,199975,20
2017-12-01,"Brunswick - GA metro area",GA,5.9,937,159,131,213500,112
2020-05-01,"McComb - MS metro area",MS,10.3,154,15,25,92000,80
2020-10-01,"Sacramento - CA metro area",CA,1,3317,3451,3655,479000,9
2024-03-01,"Vermillion - SD metro area",SD,3.3,33,10,21,280750,26
2023-03-01,"Edwards - CO metro area",CO,4.3,413,96,152,1275000,50
2025-07-01,"Salina - KS metro area",KS,1.9,126,68,96,194950,19
2013-08-01,"Lancaster - PA metro area",PA,5.6,2935,527,589,169900,96
2025-02-01,"Wahpeton - ND metro area",ND,10.5,63,6,21,214500,127
2012-07-01,"Sonora - CA metro area",CA,2.1,17,8,4,133500,97
2016-09-01,"Washington - DC metro area",DC,2.9,17826,6052,7284,363000,36
2013-08-01,"Escanaba - MI metro area",MI,9.9,355,36,62,78500,97
2021-01-01,"Elkins - WV metro area",WV,7.6,53,7,5,110000,148
2014-02-01,"Seneca Falls - NY metro area",NY,13.9,139,10,13,93800,101
2023-11-01,"Corvallis - OR metro area",OR,3.7,168,45,41,570000,45
2012-07-01,"California - MD metro area",MD,6.7,609,91,151,299900,67
2019-10-01,"St. Louis - MO metro area",MO,2.8,9926,3605,3805,185000,39
2020-12-01,"Lincoln - NE metro area",NE,1.4,567,409,263,217900,15
2012-03-01,"Omaha - NE metro area",NE,5.7,5255,916,1603,137900,128
2021-02-01,"Austin - MN metro area",MN,1.1,42,38,30,135000,28
2024-08-01,"Woodward - OK metro area",OK,3.9,105,27,18,145000,81
2012-11-01,"St. Marys - GA metro area",GA,7.7,346,45,44,132000,122
2025-01-01,"Austin - TX metro area",TX,5.9,10928,1844,3310,414070,96
2026-01-01,"Sandpoint - ID metro area",ID,7.4,354,48,83,570900,112
2025-04-01,"Ashland - OH metro area",OH,1.8,68,37,56,210000,12
2016-03-01,"Red Wing - MN metro area",MN,4.2,196,47,75,162000,91
2012-11-01,"Mount Sterling - KY metro area",KY,9,261,29,49,50750,189
2018-05-01,"Cheyenne - WY metro area",WY,3.2,519,162,211,255000,60
2015-11-01,"Lewistown - PA metro area",PA,6.2,156,25,36,85000,104
2014-12-01,"Peoria - IL metro area",IL,6.4,2375,373,230,118500,134
2018-08-01,"Scottsburg - IN metro area",IN,2.9,67,23,13,86200,70
2024-05-01,"Hilo - HI metro area",HI,4.3,991,229,222,585000,109
2013-11-01,"Naples - FL metro area",FL,6.7,4899,730,1083,247000,139
2013-03-01,"Philadelphia - PA metro area",PA,7,9770,1402,2899,154950,91
2012-02-01,"Cullman - AL metro area",AL,21,252,12,16,227500,885
2021-07-01,"Wahpeton - ND metro area",ND,3.2,79,25,23,117900,60
2016-07-01,"Olympia - WA metro area",WA,2.4,1173,486,638,270000,21
2025-09-01,"Crescent City - CA metro area",CA,6.4,115,18,25,400000,71
2013-01-01,"Canton - OH metro area",OH,7.9,1953,248,417,94200,113
2014-08-01,"El Dorado - AR metro area",AR,4,4,1,,75000,730
2020-02-01,"Warrensburg - MO metro area",MO,2.6,135,51,62,195000,59
2023-04-01,"Marietta - OH metro area",OH,2.7,113,42,49,155624,57
2015-05-01,"Rochester - MN metro area",MN,2.2,993,451,409,174750,44
2017-01-01,"New Brunswick - NJ metro area",NJ,5.6,12394,2200,3358,280000,97
2022-04-01,"Vineland - NJ metro area",NJ,1.9,306,159,202,200000,22
2024-04-01,"Fairmont - MN metro area",MN,2.1,47,22,22,137395.5,54
2020-05-01,"Alexandria - LA metro area",LA,5.1,479,94,102,184000,88
2020-06-01,"Kingston - NY metro area",NY,10.2,1195,117,456,262000,142
2013-05-01,"Lawrenceburg - TN metro area",TN,11.9,215,18,32,80050,113
2016-11-01,"Harrison - AR metro area",AR,4.5,221,49,40,82500,101
2025-10-01,"Charlotte - NC metro area",NC,4,13461,3391,4050,412250,68
2016-08-01,"Hutchinson - MN metro area",MN,2.6,143,55,51,157000,57
2014-08-01,"Gary - IN metro area",IN,6.7,5263,782,1024,146700,102
2025-09-01,"Lebanon - MO metro area",MO,3.8,127,33,36,210000,39
2019-11-01,"Alamogordo - NM metro area",NM,641,641,1,57,157500,86
2022-09-01,"Mason City - IA metro area",IA,2.3,188,81,64,166500,51
2019-06-01,"Olean - NY metro area",NY,5.4,350,65,107,75000,74
2016-08-01,"Heber - UT metro area",UT,5.4,1406,258,377,515000,65
2015-10-01,"Knoxville - TN metro area",TN,6.2,6165,990,1309,169175,100
2021-05-01,"Evanston - WY metro area",WY,3.3,78,24,24,234000,46
2015-07-01,"Pecos - TX metro area",TX,7,7,1,,79000,45
2019-11-01,"Chico - CA metro area",CA,2.6,599,229,171,319000,39
2023-10-01,"Bartlesville - OK metro area",OK,2.7,135,50,64,166500,13
2013-01-01,"Deltona - FL metro area",FL,7.7,5737,747,1209,114450,127
2016-06-01,"North Vernon - IN metro area",IN,3.6,94,26,39,113000,59
2019-02-01,"Killeen - TX metro area",TX,3.6,1734,478,594,155972.5,66
2024-07-01,"Wooster - OH metro area",OH,1.4,135,97,107,237000,26
2014-08-01,"Boone - NC metro area",NC,4.9,285,58,41,226000,113
2025-08-01,"Ames - IA metro area",IA,2.7,280,105,98,262500,24
2023-12-01,"Fort Payne - AL metro area",AL,4.4,174,40,45,190000,67
2024-02-01,"Hillsdale - MI metro area",MI,2.9,89,31,35,185000,85
2015-12-01,"Champaign - IL metro area",IL,4.1,918,222,179,131250,77
2021-09-01,"Santa Cruz - CA metro area",CA,1.4,351,254,216,987500,32
2020-12-01,"Brenham - TX metro area",TX,2.2,87,40,29,317500,79
2017-11-01,"Fort Worth - TX metro area",TX,2.4,5992,2533,2462,217000,32
2019-10-01,"Zapata - TX metro area",TX,6,18,3,5,130000,140
2018-09-01,"Janesville - WI metro area",WI,3.4,687,203,251,152000,51
2020-07-01,"Cambridge - OH metro area",OH,3.3,152,46,46,140000,72
2021-08-01,"Fresno - CA metro area",CA,1.1,1020,909,1008,371000,9
2019-05-01,"Sidney - OH metro area",OH,3.5,181,52,71,139200,58
2019-12-01,"Warrensburg - MO metro area",MO,2.9,168,58,43,176750,43
2014-07-01,"Pahrump - NV metro area",NV,6.1,226,37,58,149000,64
2023-06-01,"Lancaster - PA metro area",PA,0.9,472,539,534,326500,6
2014-10-01,"Kingston - NY metro area",NY,10.7,1906,178,220,199162.5,167
2015-06-01,"Santa Rosa - CA metro area",CA,2.1,1283,599,654,514000,36
2019-08-01,"Kalispell - MT metro area",MT,5.4,1024,189,230,329450,72
2012-12-01,"Victoria - TX metro area",TX,4.2,210,50,34,159500,109
2024-09-01,"Richmond - VA metro area",VA,2.1,2752,1314,1621,400000,20
2018-11-01,"San Rafael - CA metro area",CA,2.4,501,205,169,1072500,40
2018-06-01,"Ogden - UT metro area",UT,1.5,1628,1056,1200,279900,13
2012-08-01,"Marquette - MI metro area",MI,7.7,563,73,106,137500,114
2021-05-01,"Sweetwater - TX metro area",TX,3,33,11,12,200000,48
2021-06-01,"Farmington - NM metro area",NM,2,239,117,99,205000,57
2017-07-01,"Yakima - WA metro area",WA,4.6,632,136,217,222500,69
2025-12-01,"Charlotte - NC metro area",NC,3.3,10775,3280,2113,410000,77
2019-06-01,"Oil City - PA metro area",PA,3,117,39,32,99250,107
2017-02-01,"Lawrenceburg - TN metro area",TN,7.3,131,18,33,131450,126
2016-12-01,"Brainerd - MN metro area",MN,5.1,744,147,54,168500,90
2020-11-01,"Central City - KY metro area",KY,4.3,52,12,13,166500,148
2023-12-01,"St. Joseph - MO metro area",MO,2.4,210,88,88,154950,20
2013-05-01,"Ithaca - NY metro area",NY,16.9,135,8,52,133450,155
2016-12-01,"Greensburg - IN metro area",IN,3.3,88,27,9,139500,72
2013-02-01,"Clinton - IA metro area",IA,10.8,259,24,23,76000,197
2017-03-01,"Michigan City - IN metro area",IN,4.9,522,107,141,100900,114
2018-05-01,"Barnstable Town - MA metro area",MA,3.9,2203,563,921,395000,50
2024-03-01,"Fernley - NV metro area",NV,2,185,91,78,410900,49
2014-01-01,"Rexburg - ID metro area",ID,7.5,142,19,22,139900,191
2022-03-01,"Dubuque - IA metro area",IA,2.8,211,75,93,215000,46
2017-02-01,"Shreveport - LA metro area",LA,3.5,7,2,1,124250,133
